product,company_name,rel_end
maxperks,office depot,
office depot & officemax,office depot,
office depot office max,office depot,
office depot officemax,office depot,
old navy,old navy,
opentable,opentable,
optum,optum,
oracle,oracle,
orbitz,orbitz,
ortho home defense max,ortho,
oxiclean,oxiclean,
pacific life,pacific life,
pandora,pandora,
panera bread,panera bread,
panera,panera bread,
penske,penske,
pepsi,pepsico,
petco,petco,
petsmart,petsmart,
eliquis,pfizer,
premarin vaginal cream,pfizer,
centrum multigummies,pfizer,
chantix,pfizer,
centrum,pfizer,
xeljanz,pfizer,
lyrica,pfizer,
prevnar,pfizer,
viagra,pfizer,
ibrance,pfizer,
spiriva,pfizer,
advil congestion relief,pfizer,
lipitor,pfizer,
new centrum,pfizer,
premarin vaginal cream,pfizer,
celebrex,pfizer,
advil liqui,pfizer,
advil cold & sinus,pfizer,
pfizer,pfizer,
thermacare heatwraps,pfizer,
pg&e,pg&e,
philips lifeline,philips,
philips norelco shaver,philips,
philips norelco,philips,
philips sonicare,philips,
phillips,phillips 66,
pnc investments,pnc bank,
pnc,pnc bank,
polaris,polaris industries,
medifacts for post shredded wheat,post consumer brands,
little fleet,prestige consumer healthcare,
priceline,priceline,
charmin ultra strong,procter & gamble,
bounce wrinkle guard,procter & gamble,
new cascade platinum,procter & gamble,
fixodent,procter & gamble,
dawn ultra,procter & gamble,
downy,procter & gamble,
charmin ultra soft,procter & gamble,
swiffer wetjet,procter & gamble,
gillette fusion proglide,procter & gamble,
downy fabric conditioner,procter & gamble,
braun,procter & gamble,
gillette skinguard,procter & gamble,
vicks sinex,procter & gamble,
downy free & gentle,procter & gamble,
febreze unstopables,procter & gamble,
vicks vapocool,procter & gamble,
downy wrinkleguard,procter & gamble,
try head & shoulders instant relief,procter & gamble,
downy infusions calm,procter & gamble,
tampax pearl,procter & gamble,
metamucil,procter & gamble,
gillette,procter & gamble,
national psoriasis foundation,procter & gamble,
cascade platinum,procter & gamble,
charmin ultra mega roll,procter & gamble,
tampax pearl,proctor & gamble,
prudential,prudential financial,
purina dog chow,purina,
beneful healthy smile snacks,purina,
beneful healthy smile food and snacks,purina,
purina dog chow light & healthy,purina,
beneful,purina,
new purina dog chow light & healthy,purina,
purina,purina,
new beneful healthy fiesta,purina,
purina puppy chow,purina,
quicken loans,quicken loans,
better life,quincy bioscience,
prevagen,quincy bioscience,
raytheon,raytheon,
lysol,reckitt benckiser,
mucinex dm,reckitt benckiser,
mucinex,reckitt benckiser,
new colossal shrimp & salmon,red lobster,
new cedar-plank lobster & shrimp,red lobster,
red lobster,red lobster,
reebok,reebok,
lipper,reuters,
reuters,reuters,
tamiflu,roche,
rosland capital,rosland capital,
pennzoil,royal dutch shell,
safelite advantage,safelite,
safelite-dot-com,safelite,
safelite,safelite,
safeway,safeway,
samsung galaxy,samsung,
samsung galaxy s3,samsung,
samsung stratosphere,samsung,
samsung galaxy tab,samsung,
samsung galaxy camera,samsung,
samsung,samsung,
lantus,sanofi,
dupixent,sanofi,
dulcolax,sanofi,
allegra,sanofi,
zantac,sanofi,
toujeo,sanofi,
sap,sap,
sargento balanced breaks,sargento,
sargento sweet balanced breaks,sargento,
scotts,scotts miracle-gro,
sealy,sealy,
stearns & foster,sealy,
posturepedic,sealy,
sears hometown store,sears,
sears,sears,
sears optical,sears,
shipsticks.com,ship sticks,
xiidra,shire,
shriners hospitals for children,shriners hospitals for children,
siemens,siemens,
beautyrest pocketed coils,simmons bedding company,
beautyrest,simmons bedding company,
beautyrest recharge sleep system,simmons bedding company,
serta,simmons bedding company,
beautyrest black,simmons bedding company,
serta icomfort,simmons bedding company,
sirius,sirius xm holdings,
sofi,sofi,
phonak,sonova,
sony,sony,
splenda naturals,splenda,
sprint,sprint,
staples,staples,
starbucks,starbucks,
subaru legacy,subaru,
subaru outback,subaru,
subaru forester,subaru,
subaru ascent,subaru,
subaru,subaru,
subaru forester,subaru,
lunesta,sunovian,
omnaris,sunovian,
sunsweet,sunsweet growers,
t. rowe,t. rowe price,
t. rowe price,t. rowe price,
taco bell,taco bell,
trintellix,takeda,
contrave,takeda,
entyvio,takeda,
ameritrade,td ameritrade,
scottrade,td ameritrade,
thinkorswim,td ameritrade,
amerivest,td ameritrade,
td ameritrade,td ameritrade,
tempur-pedic,tempur-pedic,
tesco,tesco,
tesla,tesla,
blackstone,the blackstone group,
samuel adams,the boston beer company,
coke,the coca-cola company,
truvia,the coca-cola company,
coca cola,the coca-cola company,
coca-cola,the coca-cola company,
hartford,the hartford,
the home depot,the home depot,
rockport,the rockport group,
thrivent mutual funds,thrivent financial,
tiaa,tiaa,
togo,togo's,
tommie copper,tommie copper,
corolla,toyota,
lexus,toyota,
tacoma,toyota,
toyota camry,toyota,
lexus es,toyota,
toyota,toyota,
tracfone,tracfone,
tracfone wireless,tracfone,
transamerica,transamerica corporation,
transitions signature,transitions optical,
transunion.com,transunion,
transunion,transunion,
tripadvisor,tripadvisor,
truecar,truecar,
trugreen,trugreen,
tyco integrated security,tyco international,
us bank,u.s. bank,
ubs,ubs,
union pacific,union pacific,
united continental,united airlines,
united explorer card,united airlines,
united mileageplus explorer card,united airlines,
united airlines,united airlines,
united rentals,united rentals,
united states postal service priority,united states postal service,
united states postal service,united states postal service,
united states postal,united states postal service,
us postal service,united states postal service,
the united states postal service,united states postal service,
usps.com,united states postal service,
u.s. postal,united states postal service,
the united states postal,united states postal service,
united health,unitedhealthcare,
unitedhealthcare insurance company,unitedhealthcare,
unitedhealthcare medicare solutions,unitedhealthcare,
unitedhealthcare,unitedhealthcare,
upmc,university of pittsburgh medical center,
univision,univision communications,
usaa,usaa,
usaa bank,usaa,
velcro,velcro,
verizon,verizon,
verizon edge,verizon,
ultra wideband,verizon,
verizon smart rewards,verizon,
verizon ellipsis,verizon,
aol,verizon,
verizon xlte,verizon,
verizon wireless,verizon,
verizon center for customers,verizon,
viacom,viacom,
nickelodeon,viacom,
visionworks,visionworks,
volkswagen reward card,volkswagen,
passat tdi clean diesel,volkswagen,
volkswagen tdi clean diesel event,volkswagen,
porsche,volkswagen,
volkswagen,volkswagen,
volkswagen springtoberfest,volkswagen,
volkswagen golf,volkswagen,
volkswagen passat,volkswagen,
tdi clean diesel,volkswagen,
volkswagen alltrack,volkswagen,
volvo,volvo,
voya,voya financial,
medicare part d,walgreens,
med d. walgreens,walgreens,
corner of happy and healthy,walgreens,
walgreen,walgreens,
walgreens,walgreens,
wal-mart,walmart,
walmart,walmart,
wayfair,wayfair,
wells fargo,wells fargo,
whirlpool,whirlpool corporation,
xerox,xerox,
yahoo,yahoo,
ymca,ymca,
yum,yum! brands,
kfc,yum! brands,
zelle,zelle,
ziprecruiter,ziprecruiter,
farmville,zynga,
glc mercedes-benz,,
download audible,audible,
